time_sec,left_goal_deg,left_actual_deg,left_error_deg,left_velocity_raw,left_current_raw,right_goal_deg,right_actual_deg,right_error_deg,right_velocity_raw,right_current_raw
0.0000,180.000,179.912,0.088,1,12,180.000,180.088,-0.088,0,-4
0.3655,200.039,179.912,20.127,1,12,159.961,180.088,-20.127,0,0
0.5022,201.885,184.922,16.963,65,37,158.115,174.902,-16.787,-62,-40
0.5873,201.094,195.732,5.361,92,12,158.906,164.355,-5.449,-87,-13
0.6704,198.896,201.270,-2.373,33,12,161.104,158.730,2.373,-30,-13
0.7577,195.117,201.621,-6.504,-3,-13,164.883,158.291,6.592,0,14
0.8424,190.371,200.303,-9.932,-14,-16,169.629,158.818,10.811,10,18
0.9278,184.922,197.490,-12.568,-26,-17,175.078,161.895,13.184,31,19
1.0134,179.121,193.447,-14.326,-36,-17,180.879,166.465,14.414,40,18
1.0980,173.408,188.525,-15.117,-42,-18,186.592,171.299,15.293,44,19
1.1818,168.135,183.076,-14.941,-48,-18,191.865,176.748,15.117,48,19
1.2657,163.740,177.363,-13.623,-48,-17,196.260,182.637,13.623,52,17
1.3531,160.400,171.826,-11.426,-45,-17,199.600,188.438,11.162,48,16
1.4390,158.467,166.992,-8.525,-38,-15,201.533,193.359,8.174,41,15
1.5323,158.203,162.598,-4.395,-31,-14,201.797,197.578,4.219,31,15
1.6161,159.521,159.873,-0.352,-19,-13,200.479,200.127,0.352,19,13
1.7004,162.246,158.906,3.340,-4,-13,197.754,201.270,-3.516,7,12
1.7852,166.289,158.994,7.295,2,15,193.711,201.094,-7.383,-2,-15
1.8682,171.211,160.225,10.986,17,16,188.789,199.688,-10.898,-16,-18
1.9511,176.660,163.564,13.096,32,17,183.340,196.436,-13.096,-31,-17
2.0341,182.285,167.520,14.766,36,17,177.715,192.217,-14.502,-38,-18
2.1163,187.822,172.441,15.381,46,18,172.178,187.119,-14.941,-47,-19
2.2041,193.096,178.066,15.029,45,18,166.904,181.494,-14.590,-49,-19
2.2906,197.314,184.131,13.184,52,17,162.686,175.781,-13.096,-45,-18
2.3967,200.742,190.811,9.932,44,16,159.258,169.189,-9.932,-43,-17
2.4858,201.885,195.469,6.416,35,15,158.115,164.707,-6.592,-35,-15
2.5791,201.270,198.896,2.373,24,13,158.730,161.104,-2.373,-24,-14
2.6692,198.896,200.742,-1.846,12,12,161.104,159.346,1.758,-9,-15
2.7647,194.766,200.918,-6.152,-2,-14,165.234,159.082,6.152,0,14
2.8647,189.053,199.688,-10.635,-13,-16,170.947,159.961,10.986,11,17
2.9477,183.516,196.787,-13.271,-28,-17,176.484,162.949,13.535,31,19
3.0313,177.891,192.568,-14.678,-38,-18,182.109,167.344,14.766,39,19
3.1173,172.090,187.295,-15.205,-44,-19,187.910,172.441,15.469,45,20
3.2048,166.904,181.494,-14.590,-49,-18,193.096,178.242,14.854,50,19
3.2900,162.686,175.869,-13.184,-48,-17,197.314,184.307,13.008,52,17
3.3757,159.697,170.508,-10.811,-43,-17,200.303,189.756,10.547,45,16
3.4603,158.203,166.113,-7.910,-34,-16,201.797,194.414,7.383,38,16
3.5456,158.291,162.158,-3.867,-31,-15,201.709,198.193,3.516,29,14
3.6311,159.873,159.609,0.264,-17,-14,200.127,200.479,-0.352,18,14
3.7152,162.949,158.906,4.043,-2,-9,197.051,201.357,-4.307,4,-8
3.8164,168.047,159.082,8.965,2,16,191.953,200.830,-8.877,-6,-15
3.9011,173.320,161.279,12.041,24,16,186.680,198.633,-11.953,-22,-17
3.9869,179.121,165.146,13.975,34,16,180.879,194.766,-13.887,-34,-17
4.0716,184.834,169.629,15.205,41,18,175.166,190.107,-14.941,-42,-19
4.1562,190.283,175.078,15.205,49,19,169.717,184.658,-14.941,-47,-19
4.2482,195.381,181.143,14.238,51,18,164.619,178.418,-13.799,-48,-19
4.3341,198.984,186.855,12.129,49,16,161.016,172.969,-11.953,-48,-19
4.4185,201.182,192.129,9.053,43,16,158.818,167.959,-9.141,-42,-17
4.5028,201.885,196.260,5.625,34,14,158.115,163.740,-5.625,-35,-16
4.5869,201.094,199.160,1.934,23,14,158.906,160.752,-1.846,-22,-16
4.6713,198.809,200.830,-2.021,11,12,161.191,159.258,1.934,-8,-14
4.7619,194.941,201.006,-6.064,-1,-13,165.059,159.082,5.977,0,13
4.8564,189.580,199.863,-10.283,-12,-16,170.420,159.697,10.723,9,18
4.9474,183.604,196.875,-13.271,-27,-17,176.396,162.949,13.447,31,18
5.0371,177.451,192.305,-14.854,-38,-18,182.549,167.607,14.941,39,18
5.1296,171.387,186.680,-15.293,-46,-18,188.613,173.145,15.469,45,19
5.2199,166.025,180.615,-14.590,-49,-18,193.975,179.297,14.678,53,18
5.3102,161.895,174.639,-12.744,-47,-18,198.105,185.625,12.480,51,17
5.4013,159.082,169.102,-10.020,-42,-18,200.918,191.338,9.580,43,16
5.4912,158.115,164.531,-6.416,-35,-16,201.885,195.820,6.064,35,15
5.5838,158.818,160.840,-2.021,-26,-14,201.182,199.336,1.846,23,14
5.6742,161.279,159.082,2.197,-9,-12,198.721,201.094,-2.373,11,14
5.7727,165.674,158.906,6.768,1,13,194.326,201.182,-6.855,0,-15
5.8635,170.947,159.873,11.074,15,17,189.053,199.863,-10.811,-15,-17
5.9568,177.100,163.652,13.447,33,16,182.900,196.260,-13.359,-31,-17
6.0462,183.164,168.047,15.117,37,18,176.836,191.514,-14.678,-40,-18
6.1393,189.229,173.848,15.381,48,19,170.771,185.625,-14.854,-49,-19
6.2300,194.502,179.824,14.678,52,17,165.498,179.736,-14.238,-48,-19
6.3382,199.160,187.119,12.041,48,16,160.840,172.617,-11.777,-47,-18
6.4306,201.445,192.568,8.877,41,16,158.555,167.432,-8.877,-39,-17
6.5229,201.885,196.963,4.922,33,15,158.115,162.949,-4.834,-32,-16
6.6148,200.479,199.863,0.615,20,14,159.521,160.049,-0.527,-19,-14
6.7110,197.314,201.094,-3.779,6,12,162.686,159.082,3.604,-4,-14
6.8017,192.744,200.742,-7.998,-3,-15,167.256,159.082,8.174,0,16
6.8898,187.383,198.984,-11.602,-19,-16,172.617,160.576,12.041,19,18
6.9807,181.318,195.381,-14.062,-32,-18,178.682,164.619,14.062,36,18
7.0720,175.078,190.195,-15.117,-41,-18,184.922,169.717,15.205,43,19
7.1645,169.189,184.395,-15.205,-48,-18,190.811,175.518,15.293,48,19
7.2566,164.180,178.154,-13.975,-49,-18,195.820,182.021,13.799,52,18
7.3488,160.488,172.266,-11.777,-46,-18,199.512,188.086,11.426,48,16
7.4399,158.467,167.080,-8.613,-38,-16,201.533,193.359,8.174,41,16
7.5316,158.203,162.773,-4.570,-32,-14,201.797,197.666,4.131,31,15
7.6274,159.785,159.785,0.000,-17,-13,200.215,200.391,-0.176,18,14
7.7196,163.125,158.906,4.219,-2,-1,196.875,201.270,-4.395,3,-9
7.8119,167.783,158.994,8.789,1,17,192.217,200.918,-8.701,-5,-15
7.9039,173.496,161.104,12.393,25,17,186.504,198.545,-12.041,-22,-17
7.9958,179.736,165.410,14.326,36,17,180.264,194.326,-14.062,-35,-18
8.0875,185.889,170.420,15.469,43,19,174.111,189.141,-15.029,-43,-19
8.1793,191.689,176.309,15.381,48,19,168.311,183.076,-14.766,-47,-18
8.2727,196.523,182.549,13.975,51,17,163.477,176.836,-13.359,-49,-17
8.3653,199.951,188.701,11.250,47,16,160.049,171.123,-11.074,-43,-18
8.4581,201.709,194.150,7.559,40,16,158.291,165.938,-7.646,-36,-15
8.5558,201.621,198.193,3.428,28,15,158.379,161.807,-3.428,-26,-15
8.6479,199.600,200.391,-0.791,16,13,160.400,159.609,0.791,-13,-14
8.7406,195.908,201.006,-5.098,1,-12,164.092,159.258,4.834,0,-2
8.8336,190.898,200.391,-9.492,-7,-16,169.102,159.434,9.668,2,17
8.9251,185.098,197.754,-12.656,-24,-18,174.902,161.895,13.008,27,19
9.0176,178.857,193.447,-14.590,-37,-18,181.143,166.553,14.590,39,18
9.1093,172.617,187.998,-15.381,-43,-19,187.383,171.914,15.469,45,19
9.2038,166.904,181.846,-14.941,-49,-19,193.096,178.066,15.029,50,19
9.2975,162.334,175.518,-13.184,-48,-18,197.666,184.746,12.920,53,18
9.3893,159.346,169.893,-10.547,-43,-17,200.654,190.547,10.107,44,16
9.4879,158.115,164.795,-6.680,-35,-15,201.885,195.732,6.152,35,15
9.5811,158.818,160.928,-2.109,-26,-13,201.182,199.248,1.934,24,14
9.6939,161.982,158.994,2.988,-6,-13,198.018,201.182,-3.164,7,12
9.7982,166.992,158.994,7.998,1,15,193.008,201.006,-7.998,-3,-15
9.8983,173.145,160.752,12.393,23,17,186.855,198.809,-11.953,-21,-18
9.9859,179.033,164.971,14.062,36,18,180.967,194.941,-13.975,-34,-18
10.0740,185.010,169.629,15.381,42,19,174.990,189.932,-14.941,-43,-18
10.1614,190.635,175.254,15.381,49,19,169.365,184.482,-15.117,-46,-19
10.2488,195.469,180.967,14.502,51,18,164.531,178.594,-14.062,-48,-18
10.3334,198.984,186.680,12.305,49,17,161.016,172.969,-11.953,-48,-19
10.4209,201.270,192.129,9.141,43,17,158.730,167.871,-9.141,-41,-17
10.5096,201.885,196.436,5.449,34,15,158.115,163.477,-5.361,-34,-16
10.5975,200.918,199.424,1.494,22,14,159.082,160.576,-1.494,-20,-15
10.6860,198.281,200.918,-2.637,9,12,161.719,159.258,2.461,-5,-14
10.7735,194.326,200.918,-6.592,-3,-14,165.674,159.082,6.592,0,13
10.8612,189.229,199.863,-10.635,-13,-16,170.771,159.785,10.986,10,19
10.9489,183.428,196.787,-13.359,-28,-17,176.572,162.949,13.623,31,17
11.0360,177.539,192.480,-14.941,-38,-18,182.461,167.520,14.941,39,18
11.1239,171.738,187.031,-15.293,-45,-19,188.262,172.793,15.469,45,19
11.2124,166.465,181.230,-14.766,-49,-18,193.535,178.682,14.854,51,19
